well,strain,condition,biorep,techrep
1,blank,hvca,,
2,blank,hvca,,
3,blank,hvca,,
4,blank,hvca,,
5,blank,hvca,,
6,blank,hvca,,
7,blank,hvca,,
8,blank,hvca,,
9,blank,hvca,,
10,blank,hvca,,
11,blank,hvca,,
12,trmB,hvca,1,1
13,trmB,hvca,1,2
14,trmB,hvca,1,3
15,trmB,hvca,1,4
16,trmB,hvca,1,5
17,trmB,hvca,2,1
18,trmB,hvca,2,2
19,trmB,hvca,2,3
20,blank,hvca,,
21,blank,hvca,,
22,WT,hvca,1,1
23,WT,hvca,1,2
24,WT,hvca,1,3
25,WT,hvca,1,4
26,WT,hvca,1,5
27,WT,hvca,2,1
28,WT,hvca,2,2
29,WT,hvca,2,3
30,blank,hvca,,
31,blank,hvca,,
32,trmB,hvca + 25mM glycerol,1,1
33,trmB,hvca + 25mM glycerol,1,2
34,trmB,hvca + 25mM glycerol,1,3
35,trmB,hvca + 25mM glycerol,1,4
36,trmB,hvca + 25mM glycerol,1,5
37,trmB,hvca + 25mM glycerol,2,1
38,trmB,hvca + 25mM glycerol,2,2
39,trmB,hvca + 25mM glycerol,2,3
40,blank,hvca,,
41,blank,hvca,,
42,WT,hvca + 25mM glycerol,1,1
43,WT,hvca + 25mM glycerol,1,2
44,WT,hvca + 25mM glycerol,1,3
45,WT,hvca + 25mM glycerol,1,4
46,WT,hvca + 25mM glycerol,1,5
47,WT,hvca + 25mM glycerol,2,1
48,WT,hvca + 25mM glycerol,2,2
49,WT,hvca + 25mM glycerol,2,3
50,blank,hvca,,
51,blank,hvca,,
52,trmB,hvca,2,4
53,trmB,hvca,2,5
54,trmB,hvca,3,1
55,trmB,hvca,3,2
56,trmB,hvca,3,3
57,trmB,hvca,3,4
58,trmB,hvca,3,5
59,trmB,hvca,3,6
60,blank,hvca,,
61,blank,hvca,,
62,WT,hvca,2,4
63,WT,hvca,2,5
64,WT,hvca,3,1
65,WT,hvca,3,2
66,WT,hvca,3,3
67,WT,hvca,3,4
68,WT,hvca,3,5
69,WT,hvca,3,6
70,blank,hvca,,
71,blank,hvca,,
72,trmB,hvca + 25mM glycerol,2,4
73,trmB,hvca + 25mM glycerol,2,5
74,trmB,hvca + 25mM glycerol,3,1
75,trmB,hvca + 25mM glycerol,3,2
76,trmB,hvca + 25mM glycerol,3,3
77,trmB,hvca + 25mM glycerol,3,4
78,trmB,hvca + 25mM glycerol,3,5
79,trmB,hvca + 25mM glycerol,3,6
80,blank,hvca,,
81,blank,hvca,,
82,WT,hvca + 25mM glycerol,2,4
83,WT,hvca + 25mM glycerol,2,5
84,WT,hvca + 25mM glycerol,3,1
85,WT,hvca + 25mM glycerol,3,2
86,WT,hvca + 25mM glycerol,3,3
