Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,0.071,0.072,0.072,0.072,0.072,0.072,0.072,0.071,0.072,0.073,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.071,0.073,0.072,0.074,0.071,0.072,0.072,0.071,0.078,0.07,0.09,0.088,0.09,0.096,0.088,0.088,0.071,0.072,0.071,0.096,0.089,0.089,0.089,0.092,0.09,0.09,0.092,0.089,0.072,0.073,0.073,0.09,0.091,0.091,0.078,0.072,0.071,0.091,0.087,0.088,0.073,0.074,0.072,0.086,0.088,0.086,0.09,0.088,0.087,0.088,0.089,0.089,0.078,0.073,0.072,0.091,0.089,0.089,0.088,0.089,0.09,0.072,0.072,0.074,0.072,0.073,0.077,0.077,0.071,0.081,0.072,0.076,0.072,0.074,0.071,0.072,0.071,0.071
0:20:00,0.071,0.071,0.072,0.071,0.072,0.071,0.071,0.071,0.071,0.073,0.072,0.071,0.071,0.072,0.071,0.071,0.072,0.072,0.071,0.072,0.071,0.074,0.071,0.071,0.072,0.071,0.073,0.07,0.09,0.087,0.089,0.095,0.087,0.088,0.071,0.072,0.071,0.094,0.088,0.087,0.09,0.093,0.09,0.09,0.091,0.088,0.072,0.072,0.072,0.09,0.091,0.091,0.078,0.071,0.071,0.092,0.087,0.087,0.073,0.074,0.072,0.087,0.088,0.086,0.089,0.088,0.086,0.089,0.089,0.089,0.077,0.072,0.072,0.091,0.089,0.088,0.088,0.089,0.09,0.072,0.071,0.074,0.071,0.072,0.077,0.076,0.071,0.082,0.072,0.077,0.072,0.073,0.071,0.072,0.071,0.07
0:40:00,0.071,0.071,0.072,0.072,0.072,0.071,0.072,0.071,0.071,0.072,0.072,0.071,0.071,0.072,0.071,0.072,0.073,0.072,0.071,0.071,0.071,0.073,0.071,0.071,0.071,0.071,0.073,0.07,0.091,0.088,0.09,0.096,0.088,0.088,0.071,0.072,0.071,0.093,0.087,0.087,0.091,0.094,0.09,0.091,0.09,0.089,0.071,0.072,0.072,0.09,0.091,0.091,0.077,0.07,0.071,0.09,0.086,0.086,0.073,0.073,0.072,0.088,0.088,0.086,0.088,0.087,0.086,0.088,0.089,0.089,0.077,0.072,0.071,0.09,0.089,0.089,0.087,0.09,0.09,0.072,0.071,0.074,0.071,0.072,0.077,0.076,0.07,0.081,0.071,0.079,0.071,0.072,0.07,0.072,0.071,0.07
1:00:00,0.07,0.071,0.071,0.071,0.072,0.071,0.071,0.071,0.071,0.072,0.072,0.071,0.071,0.072,0.071,0.071,0.072,0.072,0.076,0.072,0.071,0.073,0.071,0.071,0.071,0.071,0.072,0.069,0.093,0.089,0.091,0.096,0.088,0.089,0.071,0.072,0.07,0.094,0.086,0.087,0.097,0.095,0.091,0.092,0.091,0.093,0.071,0.072,0.072,0.092,0.091,0.091,0.077,0.07,0.07,0.09,0.087,0.087,0.073,0.073,0.071,0.09,0.088,0.087,0.089,0.087,0.086,0.09,0.09,0.091,0.077,0.072,0.071,0.091,0.09,0.089,0.089,0.091,0.092,0.072,0.071,0.073,0.07,0.072,0.077,0.075,0.07,0.08,0.071,0.082,0.071,0.073,0.07,0.072,0.071,0.07
1:20:00,0.071,0.071,0.071,0.071,0.072,0.071,0.071,0.071,0.071,0.072,0.072,0.072,0.071,0.071,0.071,0.071,0.072,0.071,0.075,0.072,0.071,0.073,0.071,0.071,0.071,0.071,0.073,0.07,0.096,0.092,0.093,0.098,0.09,0.091,0.071,0.071,0.071,0.094,0.088,0.088,0.1,0.099,0.097,0.095,0.094,0.097,0.071,0.071,0.072,0.093,0.093,0.093,0.078,0.071,0.07,0.091,0.088,0.089,0.073,0.073,0.071,0.092,0.089,0.088,0.09,0.089,0.087,0.093,0.092,0.092,0.077,0.072,0.071,0.093,0.092,0.091,0.091,0.093,0.092,0.072,0.071,0.073,0.071,0.072,0.077,0.076,0.071,0.082,0.071,0.085,0.071,0.073,0.071,0.071,0.071,0.07
1:40:00,0.071,0.071,0.072,0.072,0.072,0.072,0.071,0.072,0.071,0.072,0.072,0.072,0.071,0.072,0.071,0.071,0.072,0.072,0.077,0.072,0.071,0.073,0.071,0.071,0.072,0.071,0.073,0.071,0.099,0.096,0.096,0.101,0.091,0.09,0.071,0.072,0.072,0.095,0.089,0.089,0.104,0.102,0.094,0.098,0.096,0.1,0.071,0.072,0.072,0.097,0.095,0.095,0.078,0.071,0.071,0.093,0.091,0.091,0.073,0.073,0.072,0.095,0.091,0.092,0.091,0.09,0.089,0.096,0.095,0.094,0.077,0.073,0.072,0.095,0.094,0.093,0.095,0.094,0.094,0.073,0.071,0.073,0.071,0.073,0.077,0.076,0.072,0.082,0.071,0.09,0.071,0.073,0.071,0.072,0.071,0.071
2:00:00,0.071,0.071,0.072,0.072,0.072,0.071,0.071,0.072,0.071,0.072,0.072,0.072,0.071,0.072,0.071,0.071,0.072,0.072,0.077,0.072,0.071,0.072,0.071,0.071,0.071,0.071,0.074,0.071,0.102,0.091,0.098,0.103,0.089,0.092,0.072,0.071,0.071,0.095,0.09,0.09,0.106,0.109,0.1,0.1,0.098,0.109,0.071,0.072,0.072,0.1,0.097,0.097,0.078,0.071,0.07,0.097,0.093,0.093,0.073,0.073,0.071,0.098,0.095,0.094,0.093,0.092,0.09,0.097,0.098,0.098,0.077,0.073,0.071,0.097,0.095,0.097,0.098,0.096,0.096,0.073,0.071,0.073,0.071,0.073,0.077,0.076,0.072,0.082,0.071,0.094,0.071,0.073,0.07,0.072,0.071,0.071
2:20:00,0.072,0.071,0.071,0.072,0.072,0.071,0.071,0.072,0.071,0.073,0.072,0.072,0.071,0.071,0.071,0.071,0.072,0.072,0.077,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.079,0.071,0.104,0.095,0.099,0.105,0.097,0.093,0.071,0.072,0.071,0.096,0.092,0.092,0.108,0.113,0.099,0.102,0.101,0.113,0.071,0.072,0.072,0.103,0.101,0.098,0.078,0.071,0.07,0.099,0.096,0.096,0.073,0.073,0.072,0.101,0.097,0.097,0.096,0.095,0.091,0.101,0.1,0.1,0.077,0.073,0.072,0.1,0.1,0.101,0.099,0.096,0.098,0.073,0.071,0.073,0.071,0.073,0.077,0.075,0.072,0.081,0.071,0.097,0.071,0.073,0.071,0.072,0.071,0.071
2:40:00,0.072,0.071,0.072,0.071,0.072,0.072,0.071,0.072,0.072,0.073,0.072,0.072,0.071,0.072,0.071,0.071,0.072,0.072,0.077,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.077,0.07,0.106,0.107,0.101,0.107,0.1,0.095,0.072,0.072,0.071,0.098,0.093,0.094,0.113,0.112,0.101,0.104,0.101,0.116,0.071,0.072,0.072,0.105,0.104,0.102,0.078,0.071,0.071,0.104,0.101,0.101,0.073,0.074,0.072,0.103,0.1,0.1,0.098,0.097,0.097,0.103,0.102,0.101,0.077,0.073,0.072,0.102,0.1,0.104,0.102,0.098,0.1,0.075,0.071,0.071,0.071,0.072,0.077,0.076,0.072,0.082,0.072,0.108,0.072,0.073,0.071,0.072,0.071,0.072
3:00:00,0.071,0.071,0.072,0.072,0.072,0.071,0.071,0.072,0.071,0.073,0.072,0.072,0.071,0.072,0.071,0.071,0.072,0.072,0.077,0.072,0.071,0.071,0.071,0.071,0.071,0.071,0.079,0.072,0.111,0.118,0.104,0.111,0.104,0.1,0.073,0.072,0.071,0.1,0.096,0.096,0.116,0.115,0.11,0.108,0.104,0.122,0.071,0.072,0.072,0.111,0.107,0.108,0.078,0.071,0.071,0.108,0.104,0.105,0.073,0.074,0.072,0.108,0.104,0.104,0.101,0.101,0.098,0.107,0.107,0.107,0.077,0.074,0.072,0.106,0.101,0.106,0.105,0.101,0.102,0.072,0.072,0.073,0.071,0.074,0.077,0.076,0.072,0.082,0.075,0.103,0.072,0.073,0.071,0.072,0.071,0.071
